,station_name,Latitude,longitude,from06_to10,from10_to14,from14_to18,from18_to22,from22_to02,from02_to06
64,남부터미널,37.484943,127.0163445,87116.0,54059.75,76640.75,81346.0,5825.0,845.0
65,녹번,37.60097329999999,126.93573070000001,50686.5,24117.75,30876.5,42928.0,4862.5,2198.75
66,대청,37.4936283,127.0795515,28595.0,17690.0,24166.0,24541.75,2707.5,959.0
67,대치,37.49447429999999,127.0631933,27238.75,20445.25,27177.0,27670.0,3110.5,713.5
68,도곡,37.490635,127.05547299999999,17126.0,9935.5,13542.5,13485.0,1237.25,312.0
69,독립문,37.5745584,126.95783610000001,21903.75,17486.75,19408.25,16192.0,1844.0,1216.75
70,동대입구,37.5590607,127.00572700000001,24849.25,15116.5,22292.5,18566.25,2042.25,558.25
71,매봉,37.4870692,127.046978,40913.0,18037.75,27621.75,35566.75,2447.75,418.5
72,무악재,37.5823172,126.9503501,12422.5,7278.25,9305.5,11651.0,1365.75,445.25
73,불광,37.61065468,126.9298477,50229.0,37383.75,47041.0,47520.5,5180.0,2158.0
74,수서,37.485099,127.1046888,46474.25,32249.25,41670.75,44305.25,5102.5,1459.75
75,신사,37.5162341,127.01973079999999,75839.5,61155.75,81753.0,93522.25,5536.75,803.25
76,안국,37.57629,126.98546,56642.0,30461.25,46557.5,43149.5,2292.0,664.25
77,압구정,37.5261847,127.0284989,90772.25,68322.0,85607.0,95516.0,5419.0,1049.0
78,약수,37.5549186,127.0103868,35749.5,25973.5,33611.5,36306.0,3824.5,1546.5
79,양재,37.483815500000006,127.03468810000001,131936.0,60323.5,90160.0,117862.75,8047.0,1633.75
80,연신내,37.6186289,126.9205315,112305.75,73424.25,93064.0,108917.75,13785.5,6014.5
81,오금,37.5019815,127.12815249999998,20932.5,9773.25,12578.25,16365.75,2046.0,767.75
82,옥수,37.540264,127.01835849999999,23917.75,17945.75,24719.5,26497.0,2772.0,852.25
83,일원,37.4836919,127.08437659999998,29077.5,21865.5,26876.0,17393.0,1983.75,767.25
84,잠원,37.5127513,127.01115039999999,13888.0,9504.25,11745.5,11742.25,1067.5,297.5
85,지축,37.6481315,126.9139418,10845.25,5784.5,7628.0,9180.0,1110.25,400.5
86,충무로,37.5611827,126.9941283,0.25,0.0,0.75,2.5,0.25,0.0
87,학여울,37.4964975,127.0698841,5488.5,2981.0,4298.25,4589.5,440.5,156.5
88,홍제,37.5886894,126.94425279999999,52603.75,34679.75,44683.75,47301.5,5013.0,2333.75
89,길음,37.6031599,127.0248525,63683.5,35657.5,47024.5,58017.0,6882.5,2508.75
90,남태령,37.4663919,126.98778840000001,3492.0,2038.0,2948.5,2191.0,237.25,130.0
91,노원,37.65635785,127.063451,51037.5,39534.0,52728.75,61356.5,7177.75,2503.75
92,당고개,37.670097999999996,127.07892450000001,40148.75,24832.0,29859.75,33634.75,4600.0,1818.75
93,동작,37.5029705,126.97820300000001,6590.75,5428.25,7868.25,5855.25,604.25,137.25
94,명동,37.5608977,126.98637620000001,48938.0,34393.75,50057.0,51196.0,2360.5,323.0
95,미아,37.6264941,127.0261091,47319.75,31456.0,39082.25,42223.75,5089.25,2652.75
96,미아사거리,37.613184999999994,127.0300915,82589.75,56018.0,74015.0,85612.75,8394.75,3638.0
97,삼각지,37.535478000000005,126.9738885,14558.75,7895.25,11641.25,14026.0,1033.75,190.75
98,상계,37.66071655,127.0733815,62777.0,35610.0,42756.75,54481.5,7673.0,2947.5
99,성신여대입구,37.5926755,127.0164764,48090.0,39051.75,52394.75,57977.25,7319.5,1571.75
100,수유,37.637993200000004,127.0257229,104851.25,66349.25,88526.5,106584.0,13239.25,5083.75
101,숙대입구,37.5451398,126.9720063,35462.5,23598.0,32244.75,35469.25,3419.5,796.75
102,신용산,37.5291744,126.96785690000002,44213.0,25392.5,37345.25,44285.75,2724.75,452.25
103,쌍문,37.6484028,127.03457879999999,98606.75,52492.0,65705.25,87121.5,11514.75,5306.25
104,이촌,37.52243970000001,126.9733635,21595.5,13370.75,19076.5,18327.5,1468.75,397.75
105,창동,37.65258370000001,127.0480717,75944.25,54433.25,71977.25,77130.25,9256.5,4591.5
106,총신대입구,37.487026,126.98220459999999,53683.5,39655.75,55237.0,55925.75,4997.0,1624.25
107,한성대입구,37.5884217,127.00618610000001,37028.25,27606.25,36216.75,35872.25,4830.75,1744.75
108,혜화,37.5821381,127.00195249999999,70086.0,64289.75,84169.0,74426.25,9037.75,1250.75
109,회현,37.5586981,126.97841670000001,65735.75,55937.75,69968.75,53299.25,2291.25,543.0
110,강동,37.5357969,127.13259550000001,65277.0,33569.5,44982.25,53257.0,6928.5,2857.5
111,개롱,37.4980749,127.1348432,20341.5,11643.0,15681.25,17667.75,2225.75,1003.5
112,개화산,37.5728758,126.8082601,16729.75,10008.75,12679.0,14093.0,1802.25,928.0
113,거여,37.4933453,127.1437709,26926.25,13390.75,19469.0,20364.75,2594.5,1099.25
114,고덕,37.5549771,127.1537755,26053.5,17587.0,22226.5,22221.25,2690.75,1048.0
115,공덕,37.543653799999994,126.9508061,47645.25,21724.25,31193.5,43290.25,2910.25,576.25
116,광나루,37.5453014,127.103527,39922.75,24962.5,30823.75,32865.5,3696.5,1398.0
117,광화문,37.5716162,126.97690259999999,103756.75,43640.25,64385.5,88192.0,4207.5,346.25
118,군자,37.5572448,127.07955749999999,34742.75,18976.0,27493.5,37241.25,4969.5,1838.0
119,굽은다리,37.5456375,127.1429622,29374.75,17276.25,22278.5,26978.75,3208.75,1554.75
120,길동,37.538368299999995,127.14020490000001,23589.5,16629.25,21954.25,22636.75,2435.25,1195.5
121,김포공항,37.561924700000006,126.80139340000001,14260.0,16516.0,24018.0,20664.5,2075.0,436.25
